Dimension, Obstacles, Seed, Algorithm, Time, Nodes Expanded, Plan Length, Error, Plan
4, 12, 0, custom-astar, 0.61, 67, 12, None, MoveF_TurnCCW_MoveF_TurnCW_MoveF_TurnCCW_MoveF_MoveF_MoveF_TurnCW_MoveF_MoveF
4, 12, 3735929054, bfs, 0.84, 92, 0, None, 
4, 12, 3735929054, ucs, 0.83, 92, 0, None, 
4, 12, 3735929054, gbfs, 0.83, 92, 0, None, 
4, 12, 3735929054, astar, 0.82, 92, 0, None, 
4, 12, 3735929054, custom-astar, 0.81, 92, 0, None, 
4, 12, 195936478, bfs, 0.74, 83, 13, None, TurnCCW_MoveF_MoveF_TurnCW_MoveF_MoveF_TurnCCW_MoveF_TurnCW_MoveF_MoveF_TurnCCW_MoveF
4, 12, 195936478, ucs, 0.73, 80, 13, None, MoveF_TurnCCW_MoveF_MoveF_TurnCW_MoveF_TurnCCW_MoveF_TurnCW_MoveF_MoveF_TurnCCW_MoveF
4, 12, 195936478, gbfs, 0.33, 36, 13, None, MoveF_TurnCCW_MoveF_MoveF_TurnCW_MoveF_TurnCCW_MoveF_TurnCW_MoveF_MoveF_TurnCCW_MoveF
4, 12, 195936478, astar, 0.69, 76, 13, None, MoveF_TurnCCW_MoveF_MoveF_TurnCW_MoveF_TurnCCW_MoveF_TurnCW_MoveF_MoveF_TurnCCW_MoveF
4, 12, 195936478, custom-astar, 0.71, 79, 13, None, MoveF_TurnCCW_MoveF_MoveF_TurnCW_MoveF_TurnCCW_MoveF_TurnCW_MoveF_MoveF_TurnCCW_MoveF
4, 12, 20493, bfs, 0.77, 85, 11, None, TurnCCW_MoveF_MoveF_MoveF_TurnCW_MoveF_MoveF_MoveF_MoveF_TurnCCW_MoveF
4, 12, 20493, ucs, 0.69, 77, 11, None, TurnCCW_MoveF_MoveF_MoveF_TurnCW_MoveF_MoveF_MoveF_MoveF_TurnCCW_MoveF
4, 12, 20493, gbfs, 0.30, 32, 13, None, MoveF_TurnCCW_MoveF_MoveF_TurnCW_MoveF_MoveF_TurnCCW_MoveF_TurnCW_MoveF_TurnCCW_MoveF
